room_id,name,capacity,features
R001,Classroom 101,30,whiteboard,projector
R002,Classroom 102,25,whiteboard,projector
R003,Classroom 103,35,whiteboard,projector
R004,Classroom 104,30,whiteboard,projector
R005,Science Lab 1,25,lab_equipment,whiteboard,sink
R006,Science Lab 2,25,lab_equipment,whiteboard,sink
R007,Computer Lab,30,computers,projector
R008,Library,40,books,quiet_space
R009,Art Studio,20,art_supplies,sink
R010,Music Room,15,instruments,sound_equipment
R011,Gymnasium,60,sports_equipment
R012,Auditorium,100,stage,sound_equipment
R013,Conference Room,20,whiteboard,projector,round_table
R014,Language Lab,25,audio_equipment,computers
R015,Physics Lab,25,lab_equipment,whiteboard,sink 
